commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
My Idriss Zerhoun	1.49	4.3	1.4	0.9493198186182982	0.9360730593607306	0.9886685552407932	0.9532	Bon	163
Temsia	1.42	4.0	2.2	0.9530541477727394	0.9429223744292238	0.9660056657223796	0.9526	Bon	164
Ait Baha	1.17	3.3	4.4	0.9663910376100293	0.9589041095890412	0.9036827195467422	0.9516	Bon	165
Ksar El Kebir	1.42	4.0	2.4	0.9530541477727394	0.9429223744292238	0.9603399433427762	0.9515	Bon	166
Massa	1.33	3.8	3.1	0.9578554281141638	0.9474885844748858	0.9405099150141643	0.9513	Bon	167
Fquih Ben Salah	1.52	4.3	1.6	0.9477193918378234	0.9360730593607306	0.9830028328611898	0.9513	Bon	167
Ain Chouater	1.59	4.6	1.0	0.9439850626833822	0.9292237442922374	1.0	0.9508	Bon	169
Marrakech-Médina	1.31	3.7	3.4	0.958922379301147	0.9497716894977168	0.9320113314447592	0.9508	Bon	169
Imlili	0.74	2.0	8.2	0.989330488130168	0.9885844748858448	0.7960339943342776	0.9504	Bon	171
Lakhnafif	1.13	3.1	5.1	0.9685249399839957	0.9634703196347032	0.8838526912181304	0.9501	Bon	172
Taliouine Assaka	1.02	2.7	6.2	0.9743931715124033	0.9726027397260274	0.8526912181303116	0.9495	Bon	173
Selouane	1.52	4.3	2.0	0.9477193918378234	0.9360730593607306	0.971671388101983	0.949	Bon	174
Drargua	1.5	4.3	2.2	0.9487863430248066	0.9360730593607306	0.9660056657223796	0.9484	Bon	175
Outat El Haj	1.41	4.1	2.9	0.953587623366231	0.9406392694063928	0.9461756373937678	0.9482	Bon	176
Jorf El Melha	1.35	3.8	3.6	0.9567884769271806	0.9474885844748858	0.9263456090651558	0.9479	Bon	177
Aklim	1.44	4.3	2.6	0.9519871965857563	0.9360730593607306	0.9546742209631728	0.9478	Bon	178
Tassoultante	1.36	3.9	3.5	0.956255001333689	0.9452054794520548	0.9291784702549575	0.9475	Bon	179
Assilah	1.22	3.4	4.8	0.9637236596425713	0.95662100456621	0.8923512747875354	0.9473	Bon	180
El Gara	1.41	4.0	3.2	0.953587623366231	0.9429223744292238	0.9376770538243626	0.9472	Bon	181
Bhalil	1.48	4.2	2.7	0.9498532942117898	0.9383561643835616	0.9518413597733711	0.9468	Bon	182
Sidi Bibi	1.45	4.1	3.0	0.9514537209922647	0.9406392694063928	0.943342776203966	0.9466	Bon	183
Almajjatia Oulad Taleb	1.23	3.4	4.9	0.9631901840490797	0.95662100456621	0.8895184135977336	0.9465	Bon	184
M'diq	1.63	4.6	1.7	0.9418511603094158	0.9292237442922374	0.9801699716713881	0.9457	Bon	185
Boumalne-Dades	1.34	3.7	4.2	0.9573219525206722	0.9497716894977168	0.9093484419263456	0.9455	Bon	186
Demnate	1.54	4.3	2.6	0.9466524406508402	0.9360730593607306	0.9546742209631728	0.9451	Bon	187
Larache	1.49	4.1	3.1	0.9493198186182982	0.9406392694063928	0.9405099150141643	0.945	Bon	188
