Libelle Arabe;commune;taux_vieillesse;commune_norm
???? ?????;Sidi Hammadi;17.2;sidihammadi
?????;Senada;17.2;senada
??????;Ouardana;17.2;ouardana
?????;Oualili;17.2;oualili
?????;Meknès;17.2;meknes
??????;Boulemane;17.2;boulemane
??? ????;Bab Boudir;17.2;babboudir
????;Zaio;17.2;zaio
????????;Saidia;17.2;saidia
????;Massa;17.2;massa
??????;Chaibate;17.1;chaibate
????? ????;Oulad Said;17.1;ouledsaid
???? ???? ????;Khemis Sidi Yahya;17.1;khemissidiyahya
??? ????;Ait Ichou;17.1;aitichou
??????;Boukhrisse;17.1;boukhrisse
??? ?????;Bni Zrantel;17.1;bnizrantel
????? ??? ?????;Fennassa Bab El Hit;17.1;fennassababelhit
??? ????;Bni Oulid;17.1;bnioulid
??? ??????;Ain Timguenai;17.1;aintimguenai
??????;El Kbab;17.1;elkbab
????? ??? ????;Oulad Ali Youssef;17.1;ouledaliyoussef
????;Debdou;17.1;debdou
????????;Mzilate;17.1;mzilate
??????;Amgala;17.0;amgala
??? ?????;Aïn-Sebaâ;17.0;ainsebaa
???????;Laamria;17.0;laamria
??? ??????;Ait Ouribel;17.0;aitouribel
??? ?????;Ait Mimoune;17.0;aitmimoune
???????;Bouqachmir;17.0;bouqachmir
??? ?? ?????;Ait Oum El Bekht;17.0;aitoumelbekht
??? ???? ???????;Bni Ounjel Tafraout;17.0;bniounjeltafraout
???????;Al Hoceima;17.0;elhoceima
????;Sefrou;17.0;sefrou
??????;Serghina;17.0;serghina
????;Taza;17.0;taza
?????;Fezouane;17.0;fezouane
????? ????????;Moulay Bouzarqtoune;17.0;moulaybouzarqtoune
??????;Tazemmourt;17.0;tazemmourt
??????;Ijoukak;17.0;ijoukak
?????;Assaki;17.0;assaki
??????;Goulmima;17.0;goulmima
?????? ?????;Moualine El Oued;16.9;moualineeloued
????? ??????;Zaouiat Lakouacem;16.9;zaouiatlakouacem
???? ????;Sidi Jaber;16.9;sidijaber
??? ????;Ait Mazigh;16.9;aitmazigh
?????;Teroual;16.9;teroual
?????;Midar;16.9;midar
??? ?? ?????;Ait Ben Yacoub;16.9;aitbenyacoub
?????? ???????;Meknassa Al Gharbia;16.9;meknassaelgharbia
??? ????;Bni Khaled;16.9;bnikhaled
???? ?????;Ida Ou Guelloul;16.9;idaouguelloul
?????? ??????;Bouabout Amdlane;16.9;bouaboutamdlane
???????;Amskroud;16.9;amskroud
?????;Gueliz;16.9;gueliz
????????;Youssoufia;16.8;youssoufia
??????;Lahouaza;16.8;lahouaza
???????;El Foqra;16.8;elfoqra
???????;Ijermaouas;16.8;ijermaouas
?????;Tamedit;16.8;tamedit
??????-???? ????;El Aioun Sidi Mellouk;16.8;elaiounsidimellouk
?????;Jerada;16.8;jerada
???????;Targante;16.8;targante
??????;Imsouane;16.8;imsouane
??????;Tamaloukte;16.8;tamaloukte
????;Arazane;16.8;arazane
??? ?????;Imi-N'fast;16.8;iminfast
???? ????;Sidi Aissa;16.7;sidiaissa
????;Mettouh;16.7;mettouh
??? ??????;Bni Tsiriss;16.7;bnitsiriss
????? ??????;Oulad Sghir;16.7;ouledsghir
?????;Marchouch;16.7;marchouch
????????;M'fassis;16.7;mfassis
?? ??????;Foum Jemaa;16.7;foumjemaa
????;Tisqi;16.7;tisqi
??????;Afourar;16.7;afourar
??????;Taghzout;16.7;taghzout
