commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
moulaydrissaghbal						2.2	0.0	4.39	0.04	0.04814494436610542	0.0	0.06733426537048501	0.0018033045555981388
moulaydrisszerhoun				2.0		14.67	0.96	28.11	1.62	0.3436740884691497	0.025260498894853187	0.4529375426732143	0.07303383450172463
moulayrachid	23.5	14.7	0.9695		0.8042	30.22	22.12	45.43	4.37	0.7121967982367791	0.5820439953689089	0.7344994635367587	0.19701102269909668
moulayyacoub	30.5	13.6	0.9272		0.7229	8.98	0.48	17.58	0.22	0.20882558566671813	0.012630249447426594	0.28175699840686774	0.009918175055789763
moulelbergui	29.5	14.4	0.5977		0.5892	4.92	0.0	9.83	0.0	0.11260679456340136	0.0	0.15576941834379227	0.0
mqamtolba	28.5	14.7	0.4563		0.5048	0.98	0.0	1.94	0.04	0.019231908615847667	0.0	0.027505933608609524	0.0018033045555981388
mramer	31.2	16.6	0.4498		0.4078	1.47	0.0	2.91	0.07	0.03084452133521348	0.0	0.043274701693923494	0.0031557829722967433
mrhassiyine	29.6	14.3	0.8002		0.5592	2.36	0.0	4.65	0.18	0.05193681790712282	0.0	0.0715609454758269	0.008114870500191624
mrija	33.3	11.4	0.622		0.3445	1.05	0.0	2.1	0.0	0.020890853290042786	0.0	0.03010696751958915	0.0
mrirt	24.7	16.2	0.9578		0.7223	6.34	0.0	12.33	0.88	0.14625967223993086	0.0	0.19641057320284888	0.03967270022315905
mrizigue	29.9	14.3	0.6416		0.4018	3.43	0.24	6.69	0.07	0.07729497221267675	0.006315124723713297	0.10472412784081712	0.0031557829722967433
msaada	31.6	10.7	0.6904		0.5458	4.84	0.24	9.53	0.04	0.11071085779289265	0.006315124723713297	0.15089247976070544	0.0018033045555981388
msemrir	32.7	10.8	0.8022		0.6316	0.45	0.0	0.61	0.73	0.0066713275112275025	0.0	0.005884839223591398	0.032910308139666035
msied	20.7	11.7	0.0697		0.2429	0.32	0.0	0.65	0.0	0.0035904302591508582	0.0	0.006535097701336305	0.0
msila	28.1	15.6	0.4387		0.5596	1.99	0.0	3.95	0.07	0.04316811034352006	0.0	0.06018142211529105	0.0031557829722967433
mssici	33.8	15.2	0.6286		0.4629	0.86	0.0	1.69	0.07	0.016388003460084614	0.0	0.02344181812270386	0.0031557829722967433
mtal	27.8	19.3	0.7088		0.332	2.95	0.0	5.87	0.07	0.06591935158962452	0.0	0.09139382904704654	0.0031557829722967433
mtalssa	27.9	14.9	0.6971		0.5298	0.7	0.0	1.25	0.4	0.012596129919067202	0.0	0.016288974867509895	0.01803304555598139
mtarnagha	25.0	21.3	0.8845		0.5923	4.46	0.0	8.93	0.0	0.10170515813297631	0.0	0.14113860259453187	0.0
mtioua	28.1	12.0	0.6217		0.4982	2.09	0.0	4.04	0.37	0.045538031306655936	0.0	0.06164450369021709	0.016680567139282784
myabdellah	31.6	8.3	0.9043		0.6829						0.0		0.0
mydrissaghbal	25.4	18.8	0.5557		0.4592						0.0		0.0
myidrisszerhoun	22.9	19.6	0.9532		0.7578						0.0		0.0
mzamzajanoubia	29.8	13.3	0.6921		0.4659	4.28	0.48	8.23	0.11	0.09743930039933174	0.012630249447426594	0.12975907923399602	0.0049590875278948815
mzefroune	23.9	19.3	0.6061		0.5015	2.38	0.0	4.75	0.0	0.05241080209975	0.0	0.07318659167018918	0.0
mzemsanhaja	33.2	11.9	0.771		0.5485	0.76	0.0	1.5	0.04	0.014018082496948732	0.0	0.020353090353415558	0.0018033045555981388
mzilate	30.1	17.1	0.4655		0.4166	1.84	0.0	3.67	0.0	0.039613228898816244	0.0	0.055629612771076704	0.0
mzizel	30.9	13.6	0.7836		0.644	0.64	0.0	1.28	0.0	0.011174177341185676	0.0	0.016776668725818577	0.0
mzouda	31.2	13.8	0.6019		0.4431	0.77	0.0	1.42	0.29	0.014255074593262319	0.0	0.019052573397925748	0.013073958028086505
mzoura	26.3	17.6	0.7081		0.3274	3.37	0.0	6.71	0.07	0.07587301963479522	0.0	0.10504925707968957	0.0031557829722967433
nador	23.9	15.6	0.9323	1.0	0.7349	31.18	40.38	34.51	9.03	0.7349480394828836	1.0	0.5569788991123993	0.40709600342627983
nagga	30.3	14.3	0.5972		0.481	3.54	0.0	7.08	0.0	0.07990188527212622	0.0	0.11106414799882995	0.0
naima	22.5	18.3	0.9125		0.7899	6.38	0.24	12.54	0.18	0.1472076406251852	0.006315124723713297	0.19982443021100962	0.008114870500191624
naour	27.1	14.4	0.1664		0.4391	1.51	0.0	3.0	0.07	0.03179248972046783	0.0	0.04473778326884953	0.0031557829722967433
nekkour	25.9	15.5	0.7897		0.4649	3.27	0.0	6.47	0.18	0.07350309867165934	0.0	0.10114770621322013	0.008114870500191624
nfifa	28.8	15.6	0.8402		0.6056	6.26	0.0	12.49	0.07	0.14436373546942216	0.0	0.1990116071138285	0.0031557829722967433
nihit	21.4	28.2	0.663		0.39	1.66	0.0	3.25	0.15	0.03534737116517165	0.0	0.04880189875475519	0.0067623920834930205
nkhila	31.6	12.8	0.6007		0.4053	5.34	0.0	10.66	0.07	0.12256046260857206	0.0	0.16926228175699906	0.0031557829722967433
nkob	33.0	13.2	0.7476		0.4343	3.08	0.0	5.7	1.14	0.06900024884170117	0.0	0.08863023051663069	0.05139417983454695
nouaceur	29.0	11.3	0.9735	1.0	0.8163	10.21	8.17	14.78	1.84	0.23797561351328947	0.2149773708030735	0.23623890496472436	0.08295200955751439
nouirate	30.8	12.0	0.7551		0.5992	1.65	0.0	3.27	0.07	0.03511037906885806	0.0	0.04912702799362765	0.0031557829722967433
nzalatbniamar	27.5	16.7	0.8021		0.5537	4.64	0.0	9.17	0.26	0.10597101586662089	0.0	0.1450401534610013	0.011721479611387902
nzalatlaadam	34.1	8.4	0.8399		0.6798	3.62	5.29	3.88	0.44	0.08179782204263492	0.13919587411851392	0.05904346977923746	0.019836350111579526
ouadamlil	28.4	13.2	0.9268		0.649						0.0		0.0
ouadessafa						5.77	12.26	4.08	0.26	0.13275112275005635	0.32259762130302094	0.062294762167961995	0.011721479611387902
ouadlbour	28.0	22.7	0.6414		0.3957						0.0		0.0
ouahatsidibrahim	31.7	8.2	0.9731		0.7755	9.31	5.77	14.9	0.66	0.21664632484506652	0.15182612356594052	0.2381896803979591	0.029754525167369292
ouaklim	35.7	10.4	0.7922		0.5835	1.19	0.0	2.29	0.22	0.024208742638433017	0.0	0.033195695288877454	0.009918175055789763
oualili	26.1	17.2	0.635		0.6638	3.77	0.0	7.34	0.51	0.08535270348733874	0.0	0.11529082810417184	0.02299213308387627
oualqadi	17.2	31.1	0.7419		0.4122	1.24	0.0	2.44	0.11	0.025393703120000957	0.0	0.035634164580420846	0.0049590875278948815
ouannana	25.8	15.9	0.5609		0.495	2.26	0.0	4.53	0.0	0.049566896943986936	0.0	0.06961017004259219	0.0
ouaouizeght	26.1	17.3	0.8337		0.6943	2.5	0.24	4.69	0.4	0.055254707255513055	0.006315124723713297	0.07221120395357182	0.01803304555598139
ouaoula	32.5	10.6	0.5129		0.3656	1.27	0.0	2.52	0.04	0.026104679408941723	0.0	0.03693468153591066	0.0018033045555981388
ouaoumana	24.6	15.7	0.8071		0.4716	0.75	0.0	1.42	0.22	0.013781090400635142	0.0	0.019052573397925748	0.009918175055789763
ouaouzgane	32.7	9.0	0.3619		0.4394	1.75	0.0	3.48	0.04	0.03748030003199395	0.0	0.052540885001788405	0.0018033045555981388
ouardana	25.6	17.2	0.8268		0.5452	1.92	0.0	3.83	0.04	0.04150916566932494	0.0	0.05823064668205633	0.0018033045555981388
ouargui	29.9	13.6	0.8454		0.6495	2.25	0.0	4.48	0.04	0.049329904847673356	0.0	0.06879734694541106	0.0018033045555981388
ouarzazate	28.2	11.1	0.9977		0.8578	7.74	2.64	9.79	10.28	0.1794385657238332	0.06946637196084628	0.15511915986604732	0.46344927078872167
ouazguita	30.2	15.8	0.6318		0.5056	1.82	0.0	3.48	0.4	0.03913924470618906	0.0	0.052540885001788405	0.01803304555598139
oudka	25.8	15.9	0.4584		0.5442	2.32	0.0	4.63	0.04	0.05098884952186847	0.0	0.07123581623695445	0.0018033045555981388
ouedamlil						7.85	0.72	15.12	0.37	0.18204547878328264	0.01894537417113989	0.24176610202555607	0.016680567139282784
ouedelmakhazine	28.1	17.2	0.3675		0.385	0.9	0.0	1.74	0.15	0.017335971845338968	0.0	0.024254641219884996	0.0067623920834930205
ouedessafa	30.1	8.7	0.9316		0.6482						0.0		0.0
ouedifrane	24.8	16.3	0.4765		0.3788	1.67	0.0	3.17	0.44	0.035584363261485244	0.0	0.047501381799265385	0.019836350111579526
ouedjdida	29.0	13.4	0.8256		0.69	2.32	0.72	4.11	0.22	0.05098884952186847	0.01894537417113989	0.06278245602627068	0.009918175055789763
ouedjemaa	30.3	14.4	0.388		0.345	1.47	0.0	2.81	0.33	0.03084452133521348	0.0	0.04164905549956123	0.014877262583684646
ouedlaou	27.6	13.2	0.9019		0.7351	5.86	5.05	8.3	0.95	0.13488405161687864	0.13288074939480063	0.13089703157004962	0.04282848319545579
ouedlbour						3.13	0.0	6.21	0.11	0.0701852093232691	0.0	0.09692102610787824	0.0049590875278948815
ouedmalha	30.6	9.5	0.6193		0.4386	2.48	0.0	4.96	0.0	0.05478072306288588	0.0	0.07660044867834993	0.0
ouednaam	32.7	14.6	0.8407		0.6084	0.36	0.0	0.61	0.29	0.00453839864440521	0.0	0.005884839223591398	0.013073958028086505
ouednaanaa	29.0	15.4	0.8024		0.5971	4.53	0.0	9.06	0.0	0.10336410280717144	0.0	0.1432519426472028	0.0
ouedzem	25.4	16.2	0.9348		0.7478	7.15	0.48	13.28	1.84	0.1654560320413315	0.012630249447426594	0.2118542120492904	0.08295200955751439
ouezzane	23.5	16.4	0.9555		0.7617	5.91	0.0	10.44	3.45	0.13606901209844657	0.0	0.16568586012940206	0.15553501792033947
ouijjane	19.4	26.8	0.8517		0.4981	1.39	0.0	2.71	0.18	0.028948584564704775	0.0	0.040023409305198966	0.008114870500191624
ouirgane	26.2	14.3	0.6712		0.5813	1.08	0.0	1.77	0.99	0.02160182957898355	0.0	0.024742335078193674	0.044631787751053933
ouislane	26.5	12.3	0.9689		0.8168	22.66	8.17	38.56	4.63	0.5330307734237065	0.2149773708030735	0.6228175699840711	0.20873250231048457
ouisselsate	26.0	18.0	0.8139		0.5138	1.66	0.0	3.21	0.26	0.03534737116517165	0.0	0.048151640277010285	0.011721479611387902
ouizeght	29.7	13.8	0.5604		0.5017	1.13	0.0	2.23	0.07	0.022786790060551485	0.0	0.0322203075722601	0.0031557829722967433
oujda	22.1	18.5	0.9728	3.0	0.8391	32.54	4.33	46.41	40.18	0.7671789645815315	0.11393537522366073	0.7504307962415088	1.0
oukaimden	31.0	10.0	0.741		0.5315	9.72	0.0	19.36	0.18	0.22636300079392363	0.0	0.3106935006665161	0.008114870500191624
ouledaamer	34.2	13.2	0.7445		0.5485	1.26	0.0	2.53	0.0	0.025867687312628132	0.0	0.03709724615534688	0.0
ouledaamertizmarine	28.5	14.7	0.5831		0.4609	0.93	0.0	1.85	0.04	0.01804694813427973	0.0	0.02604285203368349	0.0018033045555981388
ouledaarrad	32.2	13.6	0.8784		0.6308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ouledabbou	26.0	14.6	0.8976		0.7222	4.83	0.0	9.64	0.07	0.11047386569657908	0.0	0.15268069057450395	0.0031557829722967433
ouledabdoune	29.3	12.5	0.8723		0.769	3.76	1.68	6.39	0.29	0.08511571139102514	0.04420587306599308	0.09984718925773031	0.013073958028086505
ouledaissa	88.5	38.6	0.6532		0.5249	7.619999999999999	0.0	15.02	0.54	0.1765946605680701	0.0	0.2401404558311938	0.024344611500574875
ouledalimansour	25.1	12.0	0.3203		0.2511	1.05	0.0	2.1	0.0	0.020890853290042786	0.0	0.03010696751958915	0.0
