ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
??????,El Marsa,28401.0,0.0500393962415809,elmarsa
??? ??????,Ain Cheggag,28355.0,0.0499583122544345,aincheggag
????? ?????,Saniat Berguig,28314.0,0.0498860417441518,saniatberguig
???????,Dkhissa,28211.0,0.0497044841207587,dkhissa
?????,Sefsaf,28106.0,0.0495194011066201,sefsaf
?????,Missour,27973.0,0.0492849626220446,missour
????? ????,Ouled Ghanem,27894.0,0.0491457096875975,ouledghanem
??????,Bouarfa,27485.0,0.0484247672801434,bouarfa
????? ????,Oulad Hassoune,27241.0,0.0479946696091928,ouledhassoune
???? ???????,Sid L'mokhtar,27042.0,0.0476438932300158,sidlmokhtar
???????,Lamzoudia,27004.0,0.0475769108058514,lamzoudia
?????,Toulal,26968.0,0.0475134537724325,toulal
???????,Nouirate,26833.0,0.0472754898971114,nouirate
????? ????,Ouled Nacer,26731.0,0.0470956949690911,oulednacer
??? ?????,Mers El Kheir,26544.0,0.0467660709343871,merselkheir
??? ?????,Sebaa Rouadi,26504.0,0.0466955631194772,sebaarouadi
?????,Taddart,26403.0,0.0465175308868296,taddart
?????,Ouaoula,26400.0,0.0465122428007114,ouaoula
????????,Khnichet,26246.0,0.0462407877133081,khnichet
??????,Laghdira,26192.0,0.0461456021631797,laghdira
????,Mettouh,26074.0,0.0459376041091954,mettouh
????????,Echemmaia,26014.0,0.0458318423868305,echemmaia
???? ????,Sidi Abed,25872.0,0.0455815396439002,sidiabed
??? ???????,Dir El Ksiba,25851.0,0.0455445230410725,direlksiba
????? ?????,Ouled Yaich,25783.0,0.0454246597557256,ouledyaich
????? ????,Oulad Settout,25390.0,0.0447319204742355,ouledsettout
????? ????,Oulad Aissa,25367.0,0.0446913784806623,ouledaissa
??????,M'zouda,25316.0,0.0446014810166521,mzouda
??? ?????,Hjar Ennhal,25301.0,0.0445750405860609,hjarennhal
?????,Zouada,25286.0,0.0445486001554697,zouada
????? ?????,Oulad Sbaita,25230.0,0.0444498892145958,ouledsbaita
????? ?????,Zaouiat Cheikh,25063.0,0.0441555190873468,zaouiatcheikh
????????,Imintanoute,25041.0,0.0441167397891463,imintanoute
??????,Bouhouda,24823.0,0.0437324721978872,bouhouda
????????,Sfafaa,24744.0,0.0435932192634401,sfafaa
??? ???,Bab Berred,24742.0,0.0435896938726946,babberred
???? ???? ???????,Sidi Mohamed Benmansour,24698.0,0.0435121352762936,sidimohamedbenmansour
????,Guigou,24674.0,0.0434698305873477,guigou
??? ?????,Sebt Gzoula,24596.0,0.0433323403482733,sebtgzoula
????? ????,Ouled Ayad,24563.0,0.0432741714009726,ouledayad
???? ???? ?? ???,Sidi Aissa Ben Ali,24502.0,0.043166646983235,sidiaissabenali
??? ?????? ???????,Abdelghaya Souahel,24435.0,0.0430485463932608,abdelghayasouahel
?????,Tamorot,24258.0,0.0427365493122844,tamorot
?? ??????,Foum El Anceur,24225.0,0.0426783803649837,foumelanceur
??? ?????? ?????,Souk Tlet El Gharb,24190.0,0.0426166860269375,souktletelgharb
??? ?????,Sti Fadma,24153.0,0.0425514662981458,stifadma
????? ??? ?????,Skoura Ahl El Oust,24053.0,0.0423751967608709,skouraahleloust
????? ?????,Ouled Slama,23848.0,0.0420138442094575,ouledslama
????,Zegzel,23846.0,0.042010318818712,zegzel
????????,Mkansa,23680.0,0.0417177113868358,mkansa
??? ????,Bni A'yat,23671.0,0.0417018471284811,bniainyat
?????? ???????,El Koudia El Beida,23663.0,0.0416877455654991,elkoudiaelbeida
??????,Bouhmame,23637.0,0.0416419154858076,bouhmame
??? ?????,Ait M'hamed,23531.0,0.0414550697762963,aitmhamed
????? ??????,Ferkla El Oulia,23362.0,0.0411571742583018,ferklaeloulia
???? ??????,Ighil N'oumgoun,23218.0,0.040903346124626,ighilnoumgoun
???? ??????,Sidi Boumoussa,23140.0,0.0407658558855517,sidiboumoussa
??????,El Ghiate,23107.0,0.040707686938251,elghiate
??? ???????,Ain Dfali,23016.0,0.0405472816593309,aindfali
????,Azla,22985.0,0.0404926381027757,azla
??? ?????,Ain Aicha,22900.0,0.0403428089960921,ainaicha
??? ????????,Ait Boubidmane,22780.0,0.0401312855513623,aitboubidmane
??????,Boumaiz,22693.0,0.0399779310539331,boumaiz
???????,Haddada,22652.0,0.0399056605436505,haddada
????,Asni,22620.0,0.0398492542917225,asni
???????,Lgharbia,22528.0,0.0396870863174297,lgharbia
????? ???????,Ghiata Al Gharbia,22431.0,0.0395161048662731,ghiataelgharbia
????????,M'saada,22399.0,0.0394596986143451,msaada
???? ????,Sidi Hajjaj,22357.0,0.0393856654086897,sidihajjaj
???? ????,Sidi Ifni,22329.0,0.0393363099382527,sidiifni
??? ????,Bni Chiker,22298.0,0.0392816663816975,bnichiker
??????,Shoul,22281.0,0.0392517005603608,shoul
?????,Ighoud,22076.0,0.0388903480089474,ighoud
????? ??? ??????,Moulay Ali Cherif,22073.0,0.0388850599228291,moulayalicherif
???? ????????,Ameur Chamalia,21998.0,0.038752857769873,ameurchamalia
???,Nagga,21993.0,0.0387440442930093,nagga
??????? ????,Immouzzer-Kandar,21939.0,0.0386488587428809,immouzzerkandar
???? ???? ??????,Sidi Allal Tazi,21729.0,0.0382786927146037,sidiallaltazi
??????,Galdamane,21729.0,0.0382786927146037,galdamane
????????,Loualidia,21716.0,0.038255777674758,loualidia
?????,Boumia,21709.0,0.0382434388071487,boumia
????? ??????,Ouled M'barek,21635.0,0.0381129993495654,ouledmbarek
???? ???????,Ahmar Laglalcha,21628.0,0.0381006604819561,ahmarlaglalcha
???? ????? ?????,Sidi Boubker El Haj,21610.0,0.0380689319652466,sidiboubkerelhaj
??? ?????,Bni Selmane,21413.0,0.0377216809768152,bniselmane
???????,Chouafaa,21374.0,0.037652935857278,chouafaa
??????,Tighedouine,21158.0,0.0372721936567644,tighedouine
??????,Jabria,21071.0,0.0371188391593353,jabria
??? ????,Ait Yadine,21007.0,0.0370060266554794,aityadine
??? ???? ????,Ait Sidi Daoud,20988.0,0.0369725354433972,aitsididaoud
????????,Harhoura,20949.0,0.03690379032386,harhoura
??????? ??????,Lamharza Essahel,20924.0,0.0368597229395413,lamharzaessahel
???? ?? ????,Karia Ba Mohamed,20855.0,0.0367380969588216,kariabamohamed
????,Saka,20849.0,0.0367275207865851,saka
????,Majjate,20656.0,0.0363873205796447,majjate
??? ???? ???,Aarab Sebbah Ziz,20538.0,0.0361793225256604,aarabsebbahziz
??????,Tamallalt,20528.0,0.0361616955719329,tamallalt
??????,El Gara,20466.0,0.0360524084588225,elgara
?????,Alnif,20448.0,0.036020679942113,alnif
???????,Souissi,20391.0,0.0359202063058664,souissi
???? ????,Sidi Chiker,20290.0,0.0357421740732188,sidichiker
???? ?????? ??? ???????,Sidi Slimane Moul Al Kifane,20245.0,0.0356628527814451,sidislimanemoulelkifane
????? ??????,Tidili Mesfioua,20218.0,0.0356152600063809,tidilimesfioua
??????,Afourar,20202.0,0.0355870568804169,afourar
???????,Lamrabih,20154.0,0.035502447502525,lamrabih
????? ???,Ouled Frej,20127.0,0.0354548547274608,ouledfrej
?????? ????????,Mzamza Janoubia,20120.0,0.0354425158598516,mzamzajanoubia
???????,Taghzirt,20023.0,0.035271534408695,taghzirt
??? ??????,Bni Bouayach,20005.0,0.0352398058919855,bnibouayach
??? ????? ????? ???????,Ait Sedrate Sahl El-Gharbia,19985.0,0.0352045519845305,aitsedratesahlelgharbia
????? ????,Oulad Ziyane,19963.0,0.0351657726863301,ouledziyane
???????,El Ksiba,19959.0,0.0351587219048391,elksiba
??? ?????,Bni Frassen,19869.0,0.0350000793212917,bnifrassen
????? ????,Jnane Bouih,19754.0,0.0347973693534257,jnanebouih
??? ??????,Imi-N'oulaoune,19734.0,0.0347621154459707,iminoulaoune
??????,Oulmes,19578.0,0.034487134967822,oulmes
?????,Tamri,19561.0,0.0344571691464852,tamri
?????,Aoulouz,19532.0,0.0344060509806755,aoulouz
?????,Iounane,19494.0,0.0343390685565111,iounane
???????,Lagfifat,19455.0,0.0342703234369739,lagfifat
??????,El Borouj,19434.0,0.0342333068341462,elborouj
????,Jdour,19390.0,0.0341557482377453,jdour
???????,Tamegroute,19200.0,0.0338208361169231,tamegroute
???? ???? ?? ??????,Sidi Aissa Ben Slimane,19161.0,0.0337520909973859,sidiaissabenslimane
??????,Agourai,19158.0,0.0337468029112676,agourai
???????,Rmilat,19117.0,0.0336745324009849,rmilat
??? ?????,Ras El Ain,19088.0,0.0336234142351752,raselain
??? ????,Ait Ouallal,19079.0,0.0336075499768205,aitouallal
??? ?????,Ain Tizgha,19062.0,0.0335775841554838,aintizgha
???????,Laaouama,19052.0,0.0335599572017563,laaouama
???????,Boughriba,19012.0,0.0334894493868464,boughriba
???????,Laatatra,18928.0,0.0333413829755355,laatatra
