commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang	commune_norm
Ben-M'sick	0.91	2.5	3.1	0.9802614030408108	0.9771689497716894	0.9405099150141644	0.9714	Bon	106	benmsick
Martil	1.12	3.2	1.4	0.9690584155774872	0.9611872146118722	0.9886685552407932	0.9706	Bon	107	martil
Mers-Sultan	0.71	2.0	4.8	0.9909309149106428	0.9885844748858448	0.8923512747875354	0.9705	Bon	108	merssultan
Assa	1.13	3.2	1.4	0.9685249399839956	0.9611872146118722	0.9886685552407932	0.9704	Bon	109	assa
Sidi Othmane	0.89	2.5	3.4	0.981328354227794	0.9771689497716894	0.9320113314447592	0.9702	Bon	110	sidiothmane
Biougra	0.97	2.7	2.8	0.9770605494798612	0.9726027397260274	0.9490084985835694	0.9701	Bon	111	biougra
Moulay Rachid	0.99	2.8	2.7	0.975993598292878	0.9703196347031964	0.9518413597733713	0.9695	Bon	112	moulayrachid
Ouled Salah	1.14	3.2	1.6	0.967991464390504	0.9611872146118722	0.9830028328611898	0.969	Bon	113	ouledsalah
Ouislane	1.16	3.3	1.4	0.9669245132035208	0.9589041095890412	0.9886685552407932	0.9689	Bon	114	ouislane
Sidi Ifni	1.1	3.1	2.0	0.9701253667644704	0.9634703196347032	0.971671388101983	0.9684	Bon	115	sidiifni
Khémisset	1.12	3.2	1.9	0.9690584155774872	0.9611872146118722	0.9745042492917848	0.9678	Bon	116	khemisset
Mers El Kheir	0.97	2.8	3.1	0.9770605494798612	0.9703196347031964	0.9405099150141644	0.9677	Bon	117	merselkheir
El Menzel	1.01	2.9	2.8	0.9749266471058948	0.9680365296803652	0.9490084985835694	0.9677	Bon	117	elmenzel
Debdou	0.99	2.9	2.9	0.975993598292878	0.9680365296803652	0.9461756373937678	0.9676	Bon	119	debdou
Tamallalt	1.1	3.1	2.2	0.9701253667644704	0.9634703196347032	0.9660056657223796	0.9673	Bon	120	tamallalt
Taliouine	1.14	3.3	1.8	0.967991464390504	0.9589041095890412	0.9773371104815864	0.9671	Bon	121	taliouine
Dakhla	0.88	2.5	4.0	0.9818618298212856	0.9771689497716894	0.9150141643059492	0.9671	Bon	121	dakhla
Méchouar-Kasba	1.03	3.0	2.8	0.9738596959189116	0.9657534246575342	0.9490084985835694	0.9665	Bon	123	mechouarkasba
Bni Makada	1.18	3.4	1.6	0.9658575620165376	0.95662100456621	0.9830028328611898	0.9665	Bon	123	bnimakada
Tétouan	1.17	3.3	1.8	0.9663910376100292	0.9589041095890412	0.9773371104815864	0.9663	Bon	125	tetouan
Skhirate	1.19	3.4	1.8	0.965324086423046	0.95662100456621	0.9773371104815864	0.9651	Bon	126	skhirate
Ait Iaaza	1.16	3.3	2.1	0.9669245132035208	0.9589041095890412	0.9688385269121812	0.9649	Bon	127	aitiaaza
Boufakrane	0.81	2.3	5.0	0.9855961589757268	0.9817351598173516	0.886685552407932	0.9647	Bon	128	boufakrane
Tarmigt	1.01	2.8	3.5	0.9749266471058948	0.9703196347031964	0.9291784702549576	0.9644	Bon	129	tarmigt
Khenifra	1.25	3.6	1.5	0.9621232328620966	0.952054794520548	0.9858356940509916	0.9638	Bon	130	khenifra
Midelt	1.17	3.2	2.4	0.9663910376100292	0.9611872146118722	0.9603399433427762	0.9636	Bon	131	midelt
Taza	1.16	3.4	2.3	0.9669245132035208	0.95662100456621	0.963172804532578	0.9631	Bon	132	taza
Sidi Rahal	0.98	2.7	4.0	0.9765270738863696	0.9726027397260274	0.9150141643059492	0.963	Bon	133	sidirahal
Sefrou	1.11	3.2	2.8	0.9695918911709788	0.9611872146118722	0.9490084985835694	0.963	Bon	133	sefrou
Al Hoceima	1.29	3.6	1.5	0.9599893304881302	0.952054794520548	0.9858356940509916	0.9628	Bon	135	elhoceima
Jamaat Shaim	1.2	3.3	2.4	0.9647906108295544	0.9589041095890412	0.9603399433427762	0.9621	Bon	136	jamaatshaim
Ait Ourir	1.11	3.1	3.1	0.9695918911709788	0.9634703196347032	0.9405099150141644	0.9619	Bon	137	aitourir
Mechraa Bel Ksiri	1.28	3.7	1.6	0.9605228060816218	0.9497716894977168	0.9830028328611898	0.9618	Bon	138	mechraabelksiri
Goulmima	1.06	2.9	3.7	0.972259269138437	0.9680365296803652	0.923512747875354	0.9612	Bon	139	goulmima
Lqliaa	1.29	3.7	1.7	0.9599893304881302	0.9497716894977168	0.980169971671388	0.961	Bon	140	lqliaa
Sidi Kacem	1.26	3.6	2.0	0.961589757268605	0.952054794520548	0.971671388101983	0.9607	Bon	141	sidikacem
Had Soualem	1.13	3.2	3.2	0.9685249399839956	0.9611872146118722	0.9376770538243626	0.9602	Bon	142	hadsoualem
Guercif	1.24	3.5	2.4	0.9626567084555882	0.954337899543379	0.9603399433427762	0.9597	Bon	143	guercif
Oulad Teima	1.3	3.7	1.9	0.9594558548946386	0.9497716894977168	0.9745042492917848	0.9596	Bon	144	ouledteima
Tiflet	1.27	3.6	2.2	0.9610562816751134	0.952054794520548	0.9660056657223796	0.9593	Bon	145	tiflet
Ribate El Kheir	1.11	3.3	3.4	0.9695918911709788	0.9589041095890412	0.9320113314447592	0.9589	Bon	146	ribateelkheir
Bouarfa	1.11	3.0	3.8	0.9695918911709788	0.9657534246575342	0.9206798866855525	0.9587	Bon	147	bouarfa
Sidi Ouassay	1.24	3.5	2.7	0.9626567084555882	0.954337899543379	0.9518413597733713	0.958	Bon	148	sidiouassay
M'rirt	1.32	3.8	2.0	0.9583889037076554	0.9474885844748858	0.971671388101983	0.9578	Bon	149	mrirt
Boudnib	1.32	3.6	2.3	0.9583889037076554	0.952054794520548	0.963172804532578	0.9574	Bon	150	boudnib
Agdz	0.85	2.2	6.3	0.9834622566017605	0.9840182648401826	0.8498583569405099	0.9569	Bon	151	agdz
Missour	1.21	3.1	3.6	0.9642571352360628	0.9634703196347032	0.9263456090651558	0.9564	Bon	152	missour
Bejaad	1.38	3.8	2.0	0.9551880501467058	0.9474885844748858	0.971671388101983	0.9562	Bon	153	bejaad
Ouezzane	1.34	3.8	2.3	0.9573219525206722	0.9474885844748858	0.963172804532578	0.9555	Bon	154	ouezzane
Azemmour	1.27	3.5	3.0	0.9610562816751134	0.954337899543379	0.943342776203966	0.9555	Bon	154	azemmour
Zouagha	1.42	4.1	1.6	0.9530541477727394	0.9406392694063928	0.9830028328611898	0.9553	Bon	156	zouagha
Saidia	1.4	3.7	2.3	0.9541210989597226	0.9497716894977168	0.963172804532578	0.9546	Bon	157	saidia
Sidi Hajjaj Oued Hassar	1.08	3.0	4.8	0.9711923179514536	0.9657534246575342	0.8923512747875354	0.9538	Bon	158	sidihajjajouedhassar
Tinghir	1.31	3.6	3.0	0.958922379301147	0.952054794520548	0.943342776203966	0.9537	Bon	159	tinghir
Youssoufia	1.48	4.2	1.5	0.9498532942117898	0.9383561643835616	0.9858356940509916	0.9536	Bon	160	youssoufia
Kasba Tadla	1.35	3.8	2.6	0.9567884769271806	0.9474885844748858	0.9546742209631728	0.9536	Bon	160	kasbatadla
Hattane	1.52	4.5	1.0	0.9477193918378234	0.9315068493150684	1.0	0.9533	Bon	162	hattane
My Idriss Zerhoun	1.49	4.3	1.4	0.9493198186182982	0.9360730593607306	0.9886685552407932	0.9532	Bon	163	myidrisszerhoun
Temsia	1.42	4.0	2.2	0.9530541477727394	0.9429223744292238	0.9660056657223796	0.9526	Bon	164	temsia
Ait Baha	1.17	3.3	4.4	0.9663910376100292	0.9589041095890412	0.9036827195467422	0.9516	Bon	165	aitbaha
Ksar El Kebir	1.42	4.0	2.4	0.9530541477727394	0.9429223744292238	0.9603399433427762	0.9515	Bon	166	ksarelkebir
Massa	1.33	3.8	3.1	0.9578554281141638	0.9474885844748858	0.9405099150141644	0.9513	Bon	167	massa
Fquih Ben Salah	1.52	4.3	1.6	0.9477193918378234	0.9360730593607306	0.9830028328611898	0.9513	Bon	167	fquihbensalah
Ain Chouater	1.59	4.6	1.0	0.9439850626833822	0.9292237442922374	1.0	0.9508	Bon	169	ainchouater
Marrakech-Médina	1.31	3.7	3.4	0.958922379301147	0.9497716894977168	0.9320113314447592	0.9508	Bon	169	marrakechmedina
Imlili	0.74	2.0	8.2	0.989330488130168	0.9885844748858448	0.7960339943342776	0.9504	Bon	171	imlili
Lakhnafif	1.13	3.1	5.1	0.9685249399839956	0.9634703196347032	0.8838526912181304	0.9501	Bon	172	lakhnafif
Taliouine Assaka	1.02	2.7	6.2	0.9743931715124032	0.9726027397260274	0.8526912181303116	0.9495	Bon	173	taliouineassaka
Selouane	1.52	4.3	2.0	0.9477193918378234	0.9360730593607306	0.971671388101983	0.949	Bon	174	selouane
Drargua	1.5	4.3	2.2	0.9487863430248066	0.9360730593607306	0.9660056657223796	0.9484	Bon	175	drargua
Outat El Haj	1.41	4.1	2.9	0.953587623366231	0.9406392694063928	0.9461756373937678	0.9482	Bon	176	outatelhaj
Jorf El Melha	1.35	3.8	3.6	0.9567884769271806	0.9474885844748858	0.9263456090651558	0.9479	Bon	177	jorfelmelha
Aklim	1.44	4.3	2.6	0.9519871965857564	0.9360730593607306	0.9546742209631728	0.9478	Bon	178	aklim
Tassoultante	1.36	3.9	3.5	0.956255001333689	0.9452054794520548	0.9291784702549576	0.9475	Bon	179	tassoultante
Assilah	1.22	3.4	4.8	0.9637236596425712	0.95662100456621	0.8923512747875354	0.9473	Bon	180	assilah
El Gara	1.41	4.0	3.2	0.953587623366231	0.9429223744292238	0.9376770538243626	0.9472	Bon	181	elgara
Bhalil	1.48	4.2	2.7	0.9498532942117898	0.9383561643835616	0.9518413597733713	0.9468	Bon	182	bhalil
Sidi Bibi	1.45	4.1	3.0	0.9514537209922648	0.9406392694063928	0.943342776203966	0.9466	Bon	183	sidibibi
Almajjatia Oulad Taleb	1.23	3.4	4.9	0.9631901840490796	0.95662100456621	0.8895184135977336	0.9465	Bon	184	almajjatiaouledtaleb
M'diq	1.63	4.6	1.7	0.9418511603094158	0.9292237442922374	0.980169971671388	0.9457	Bon	185	mdiq
Boumalne-Dades	1.34	3.7	4.2	0.9573219525206722	0.9497716894977168	0.9093484419263456	0.9455	Bon	186	boumalnedades
Demnate	1.54	4.3	2.6	0.9466524406508402	0.9360730593607306	0.9546742209631728	0.9451	Bon	187	demnate
Larache	1.49	4.1	3.1	0.9493198186182982	0.9406392694063928	0.9405099150141644	0.945	Bon	188	larache
Boulemane	1.49	4.3	2.9	0.9493198186182982	0.9360730593607306	0.9461756373937678	0.9447	Bon	189	boulemane
Berkane	1.5	4.3	2.9	0.9487863430248066	0.9360730593607306	0.9461756373937678	0.9445	Bon	190	berkane
Rommani	1.6	4.5	2.2	0.9434515870898906	0.9315068493150684	0.9660056657223796	0.9444	Bon	191	rommani
Ech-challalate	1.39	3.8	4.2	0.9546545745532142	0.9474885844748858	0.9093484419263456	0.9434	Bon	192	echchallalate
Sabbah	1.3	3.6	5.0	0.9594558548946386	0.952054794520548	0.886685552407932	0.9427	Bon	193	sabbah
Saada	1.41	3.9	4.2	0.953587623366231	0.9452054794520548	0.9093484419263456	0.9422	Bon	194	saada
Ben Ahmed	1.44	4.0	4.1	0.9519871965857564	0.9429223744292238	0.9121813031161472	0.9413	Bon	195	benahmed
Oulad Berhil	1.58	4.5	2.9	0.9445185382768738	0.9315068493150684	0.9461756373937678	0.9409	Bon	196	ouledberhil
Tahla	1.61	4.7	2.6	0.942918111496399	0.9269406392694064	0.9546742209631728	0.9405	Bon	197	tahla
Ahfir	1.71	4.9	1.9	0.9375833555614832	0.9223744292237442	0.9745042492917848	0.9404	Bon	198	ahfir
El Mariniyine	1.66	4.8	2.3	0.9402507335289412	0.9246575342465754	0.963172804532578	0.9402	Bon	199	elmariniyine
Souk El Arbaa	1.63	4.5	2.8	0.9418511603094158	0.9315068493150684	0.9490084985835694	0.9402	Bon	199	soukelarbaa
Touissit	1.55	4.3	3.5	0.9461189650573486	0.9360730593607306	0.9291784702549576	0.9397	Bon	201	touissit
Zag	1.68	4.6	2.6	0.939183782341958	0.9292237442922374	0.9546742209631728	0.9393	Bon	202	zag
Chichaoua	1.54	4.3	3.7	0.9466524406508402	0.9360730593607306	0.923512747875354	0.9389	Bon	203	chichaoua
Belfaâ	1.52	4.4	3.7	0.9477193918378234	0.9337899543378996	0.923512747875354	0.9387	Bon	204	belfaa
Afourar	1.5	4.1	4.2	0.9487863430248066	0.9406392694063928	0.9093484419263456	0.9385	Bon	205	afourar
Mirleft	1.04	3.0	7.7	0.9733262203254202	0.9657534246575342	0.8101983002832861	0.9384	Bon	206	mirleft
Ain Taoujdate	1.73	4.8	2.3	0.9365164043745	0.9246575342465754	0.963172804532578	0.9383	Bon	207	aintaoujdate
Fnideq	1.62	4.6	3.1	0.9423846359029074	0.9292237442922374	0.9405099150141644	0.9381	Bon	208	fnideq
Laattaouia	1.68	4.7	2.7	0.939183782341958	0.9269406392694064	0.9518413597733713	0.938	Bon	209	laattaouia
Targuist	1.66	4.7	2.9	0.9402507335289412	0.9269406392694064	0.9461756373937678	0.9374	Bon	210	targuist
Fam El Hisn	1.65	4.6	3.1	0.9407842091224328	0.9292237442922374	0.9405099150141644	0.9373	Bon	211	famelhisn
Annakhil	1.43	3.9	5.0	0.952520672179248	0.9452054794520548	0.886685552407932	0.9372	Bon	212	annakhil
El Guerdane	1.4	3.9	5.2	0.9541210989597226	0.9452054794520548	0.8810198300283286	0.9368	Bon	213	elguerdane
Rhafsai	1.03	2.8	8.3	0.9738596959189116	0.9703196347031964	0.7932011331444759	0.9367	Bon	214	rhafsai
Ain Erreggada	1.79	5.3	1.8	0.9333155508135504	0.91324200913242	0.9773371104815864	0.9361	Bon	215	ainerreggada
Echemmaia	1.73	4.8	2.7	0.9365164043745	0.9246575342465754	0.9518413597733713	0.936	Bon	216	echemmaia
