Libelle Arabe	commune	taux_jeunesse	commune_norm
???????	Boujniba	25.3	boujniba
???????	Boulanouare	25.3	boulanouare
???? ????	Sidi Hcine	25.3	sidihcine
??????	Aguelmous	25.3	aguelmous
?????	Aourir	25.3	aourir
????	Tiout	25.3	tiout
?????	Telouet	25.3	telouet
??????	Khouribga	25.2	khouribga
??????	Tachraft	25.2	tachraft
???? ????? ???????	Moha Ou Hammou Zayani	25.2	mohaouhammouzayani
???????	Ijermaouas	25.2	ijermaouas
?????	Itzer	25.2	itzer
????? ??????	Ksar El Kebir	25.1	ksarelkebir
????????	Benslimane	25.1	benslimane
????? ??? ?????	Oulad Ali Mansour	25.1	ouledalimansour
??????	Tsaft	25.1	tsaft
??? ?????	Bni Ansar	25.1	bniansar
??? ?????	Ait El Mane	25.1	aitelmane
??????	Mestegmer	25.1	mestegmer
??????-???? ????	El Aioun Sidi Mellouk	25.1	elaiounsidimellouk
???? ??????	Sidi Bouhria	25.1	sidibouhria
??????	Tiznit	25.1	tiznit
??? ?????	Ahl Ramel	25.1	ahlramel
?????	Tighirt	25.1	tighirt
??? ?????	Bir Gandouz	25.1	birgandouz
??????	El Gara	25.0	elgara
???? ???????	Sidi El Rhandour	25.0	sidielrhandour
???? ??????	Sidi Slimane	25.0	sidislimane
??? ????	Ain Orma	25.0	ainorma
??????	Tazroute	25.0	tazroute
?????	Midar	25.0	midar
?????	Amejjaou	25.0	amejjaou
??????	El Hajeb	25.0	elhajeb
????????	Mtarnagha	25.0	mtarnagha
??????	Guenfouda	25.0	guenfouda
???? ???? ??????	Sidi H'mad Ou Hamed	25.0	sidihmadouhamed
????	Aday	25.0	aday
??????	Tisrasse	25.0	tisrasse
????? ?????	Oulad Gouaouch	24.9	ouledgouaouch
??????	M'hajer	24.9	mhajer
?????	Tahla	24.9	tahla
???????	Tazarine	24.9	tazarine
??????	Imsouane	24.9	imsouane
???	Tiqqi	24.9	tiqqi
???? ?????	Machraa El Ain	24.9	machraaelain
??????	Tangarfa	24.9	tangarfa
???????	Ménara	24.9	menara
??????	Amizmiz	24.9	amizmiz
??????	Oulmes	24.8	oulmes
??????	Chefchaouen	24.8	chefchaouen
????? ?????	Oulad Boubker	24.8	ouledboubker
??? ?????	Oued Ifrane	24.8	ouedifrane
????????	Tighassaline	24.8	tighassaline
???? ?????	Sidi Boubker	24.8	sidiboubker
??????	Inezgane	24.8	inezgane
??? ?????	Imi-Mqourn	24.8	imimqourn
?????	Tighmi	24.8	tighmi
?????	Tataoute	24.8	tataoute
????? ???? ??????	Ifrane Atlas Saghir	24.8	ifraneatlassaghir
??? ?????	Ida-Ougoummad	24.8	idaougoummad
????	Asjen	24.7	asjen
??? ?????	Bejaad	24.7	bejaad
??? ????	Bni Chiker	24.7	bnichiker
?????	M'rirt	24.7	mrirt
?????	Abteh	24.6	abteh
?? ???	Oumazza	24.6	oumazza
??? ????	Ouaoumana	24.6	ouaoumana
??????	Belyounech	24.6	belyounech
??? ??? ????	Bni Abdellah	24.6	bniabdellah
?????????	El Mariniyine	24.6	elmariniyine
????????	Bhalil	24.6	bhalil
???????	Smia	24.6	smia
????	Zaio	24.6	zaio
???? ?????	Sidi Kaouki	24.6	sidikaouki
??????? ????????	Dcheira El Jihadia	24.6	dcheiraeljihadia
???????	El Jadida	24.5	eljadida
????	Settat	24.5	settat
??? ????	Ait Ichou	24.5	aitichou
???? ?????	Kasba Tadla	24.5	kasbatadla
???? ??????-???????	Sidi Slimane Echcharaa	24.5	sidislimaneechcharaa
????????	Chouihia	24.5	chouihia
?????	Labyar	24.5	labyar
????????	Jdiriya	24.5	jdiriya
????????	Tafingoult	24.5	tafingoult
???????	Médina	24.4	medina
??? ????	Bni Arouss	24.4	bniarouss
???????	Reggada	24.4	reggada
???????	Timoulay	24.4	timoulay
?????	Assilah	24.3	assilah
???????	Moqrissat	24.3	moqrissat
???????	Jbarna	24.3	jbarna
??? ??????	Ras Tabouda	24.3	rastabouda
?????	Gafait	24.3	gafait
???????	Amskroud	24.3	amskroud
??? ????	Béni Mellal	24.2	benimellal
??? ???? ????	Ait Youssef Ou Ali	24.2	aityoussefouali
???????	Laatamna	24.2	laatamna
?????	Aghbal	24.2	aghbal
???????	Lamnizla	24.2	lamnizla
???? ??? ??????	Sidi Ali Bourakba	24.1	sidialibourakba
???? ?????	Ribate El Kheir	24.1	ribateelkheir
????	Madagh	24.1	madagh
???? ???? ??????	Sidi Ahmed Ou Moussa	24.1	sidiahmedoumoussa
??? ???????	Ain Chouater	24.1	ainchouater
??? ????	Ait Ikkou	24.0	aitikkou
????	Azrou	24.0	azrou
????	Sefrou	24.0	sefrou
??????	Boulemane	24.0	boulemane
??????	El Kbab	24.0	elkbab
???????	Boughriba	24.0	boughriba
???????	Bounaamane	24.0	bounaamane
????	Mesti	24.0	mesti
?????????	Azaghar N'irs	24.0	azagharnirs
??????	Aguinane	24.0	aguinane
???????	Mzefroune	23.9	mzefroune
?????	Tétouan	23.9	tetouan
??? ????? ?????	Bni Sidel Jbel	23.9	bnisideljbel
???????	Nador	23.9	nador
????? ??????	Oulad Mkoudou	23.9	ouledmkoudou
????? ????	Aouint Lahna	23.9	aouintlahna
???? ?????	Tizi N'test	23.9	tizintest
??????	El Hammam	23.8	elhammam
??? ?????	Ait Ishaq	23.8	aitishaq
??????	Temsamane	23.8	temsamane
??? ????	Ait Mait	23.8	aitmait
??? ????? ????	Bni Sidel Louta	23.8	bnisidellouta
????	Saiss	23.8	saiss
?????	Rislane	23.8	rislane
??? ????	Ait Milk	23.8	aitmilk
??? ?????	Ait Makhlouf	23.8	aitmakhlouf
???? ?? ??? ????	Sidi Bouabdelli	23.8	sidibouabdelli
??????	Masmouda	23.7	masmouda
??? ?? ?????	Ait Oum El Bekht	23.7	aitoumelbekht
???????	Imrabten	23.7	imrabten
????? ?????	Moulay Bouazza	23.6	moulaybouazza
??? ???	Bni Quolla	23.6	bniquolla
???????	Zeghanghane	23.6	zeghanghane
?????	Toulal	23.6	toulal
?????	Ifrane	23.6	ifrane
??????	El Menzel	23.6	elmenzel
???? ????	Sidi Ifni	23.6	sidiifni
????? ????	Moulay Rachid	23.5	moulayrachid
???????? ????? ????	Rdadna Oulad Malek	23.5	rdadnaouledmalek
??? ??? ???	Sebt Ait Rahou	23.5	sebtaitrahou
????	Ouezzane	23.5	ouezzane
?????	Jerada	23.5	jerada
??? ???? ?????	Ait Aissa Ihahane	23.5	aitaissaihahane
????????	Taroudannt	23.5	taroudannt
???????	Rommani	23.4	rommani
??? ?????? ???????	Ait Bouyahia El Hajjama	23.4	aitbouyahiaelhajjama
??????	Khenifra	23.4	khenifra
???? ????????	Sidi Boushab	23.4	sidiboushab
???????	Tafraout	23.4	tafraout
??????	Imaouen	23.4	imaouen
?????	Tagmout	23.4	tagmout
????	Hssaine	23.3	hssaine
??? ?? ??	Bir Tam-Tam	23.3	birtamtam
?????	Aklim	23.3	aklim
????	Massa	23.3	massa
????? ????	Tnine Amellou	23.3	tnineamellou
???? ????	Sidi Kacem	23.2	sidikacem
???????	Brikcha	23.2	brikcha
?????-????	Skoura M'daz	23.2	skouramdaz
????	Taza	23.2	taza
?? ????	Ben Khlil	23.2	benkhlil
????????	Kénitra	23.1	kenitra
????? ?????	Zaouiat Cheikh	23.1	zaouiatcheikh
??? ????????	Dar El Kebdani	23.1	darelkebdani
??? ???????	Dar El Hamra	23.1	darelhamra
????????	Saidia	23.1	saidia
??????	Touissit	23.1	touissit
??? ??????	Ait Ouadrim	23.1	aitouadrim
????	Ibdar	23.1	ibdar
?????	Azemmour	23.0	azemmour
?????	Ajdir	23.0	ajdir
??????	Iksane	23.0	iksane
??? ?????	Ait Ouabelli	23.0	aitouabelli
????	Safi	22.9	safi
???? ?????	Sidi Othmane	22.9	sidiothmane
??????	El Menzeh	22.9	elmenzeh
????? ????? ?????	My Idriss Zerhoun	22.9	myidrisszerhoun
??????	Agadir	22.9	agadir
???? ???? ?? ???	Sidi Youssef Ben Ali	22.9	sidiyoussefbenali
???????	Tigzmerte	22.9	tigzmerte
??????	Boukraa	22.8	boukraa
???????	El Ksiba	22.8	elksiba
??? ???? ????	Ahl Sidi Lahcen	22.8	ahlsidilahcen
?????	El Borj	22.8	elborj
?????	Aziar	22.8	aziar
???? ????	Sidi Ouassay	22.8	sidiouassay
??? ?????	Rass Oumlil	22.8	rassoumlil
??? ?????	Ait Boufoulen	22.8	aitboufoulen
?????	Témara	22.7	temara
??????	Rghioua	22.7	rghioua
??????	Irhzrane	22.7	irhzrane
????????	Tafoughalt	22.7	tafoughalt
???? ??? ???? ?????????	Sidi Abdallah El Bouchouari	22.7	sidiabdallahelbouchouari
???????	Al Hoceima	22.6	elhoceima
?????	Meknès	22.6	meknes
??????	Arekmane	22.6	arekmane
???????	Bigoudine	22.6	bigoudine
???? ?????? ?? ???	Sidi H'saine Ou Ali	22.6	sidihsaineouali
????????	Maaziz	22.5	maaziz
???????	Naima	22.5	naima
??? ?????	Ras Asfour	22.5	rasasfour
???? ??????	Hay-Hassani	22.4	hayhassani
??????	Tafersit	22.4	tafersit
??? ?????	Ras-El-Ma	22.4	raselma
???? ?????	Mechraa Hammadi	22.4	mechraahammadi
??? ??????	Bni Boufrah	22.3	bniboufrah
??????	Taghazout	22.3	taghazout
?????	Irherm	22.3	irherm
???? ???? ??????	Sidi Allal Lamsadder	22.2	sidiallallamsadder
??????	Houderrane	22.2	houderrane
???? ????	Sidi Amar	22.2	sidiamar
??? ?????	Ain Leuh	22.2	ainleuh
?????? ??? ??? ????	Arbaa Ait Abdellah	22.2	arbaaaitabdellah
??????	Toughmart	22.2	toughmart
????????	El Hagounia	22.1	elhagounia
????	Oujda	22.1	oujda
???????	Essaouira	22.1	essaouira
????	Anfeg	22.1	anfeg
????????	Khémisset	22.0	khemisset
???????	Boudinar	22.0	boudinar
??????	Tazaghine	22.0	tazaghine
???????	Imouzzer	22.0	imouzzer
??????	Tamanarte	22.0	tamanarte
?????	Tiddas	21.9	tiddas
?????	Assads	21.8	assads
???????	Tabriquet	21.6	tabriquet
?????? ??????	Arbaa Sahel	21.6	arbaasahel
??????	Tadrart	21.6	tadrart
??????????	Al Barkanyene	21.5	elbarkanyene
????	Anzi	21.5	anzi
?????	Berkane	21.4	berkane
?????	Idmine	21.4	idmine
??????	Nihit	21.4	nihit
??? ????	Aïn-Chock	21.2	ainchock
??? ???????	Ain Erreggada	21.2	ainerreggada
????	Amalou	21.2	amalou
??? ?????	Aïn-Sebaâ	21.1	ainsebaa
????	Tizaghte	21.1	tizaghte
?????? ??????	El Maader El Kabir	21.0	elmaaderelkabir
???? ????????	Sidi Bernoussi	20.9	sidibernoussi
????????	Mohammadia	20.9	mohammadia
????	Figuig	20.9	figuig
??? ???????	Fès-Médina	20.8	fesmedina
?????	Aqsri	20.7	aqsri
??? ????	Ait Mzal	20.7	aitmzal
?????	Msied	20.7	msied
????? ????? ???????	Oulad Daoud Zkhanine	20.6	ouleddaoudzkhanine
?????	Sbata	20.5	sbata
?????? ??????	Echatea El Abied	20.5	echateaelabied
????? ????	Taliouine Assaka	20.5	taliouineassaka
??? ??????	Bab Lamrissa	20.4	bablamrissa
???????	Souani	20.3	souani
???? ???????	Tidsi-Nissendalene	20.3	tidsinissendalene
???? ????	Targa Wassay	20.3	targawassay
??????	Sbouya	20.2	sbouya
????? ????	Tnine Aglou	20.1	tnineaglou
??????	Tassegdelt	20.1	tassegdelt
?????	Gueliz	20.0	gueliz
????	Adar	20.0	adar
?????? ??? ??????	Méchouar-Fès-El Jadid	19.9	mechouarfeseljadid
????	Haouza	19.8	haouza
?????? ??? ????	Arbaa Ait Ahmed	19.7	arbaaaitahmed
????????	El Youssoufia	19.6	elyoussoufia
?????	Hilala	19.6	hilala
????	Adrej	19.5	adrej
????????	Harhoura	19.4	harhoura
?????? ??????	Arbaa Rasmouka	19.4	arbaarasmouka
????	Ouijjane	19.4	ouijjane
??????	Tisfane	19.4	tisfane
???? ????	Afella Ighir	19.4	afellaighir
?????	Issafen	19.4	issafen
??? ???????	Ida Ou Gougmar	19.4	idaougougmar
???????	Toufelaazt	19.2	toufelaazt
?????	Bettana	19.1	bettana
??? ?????	Ait Ouafqa	19.1	aitouafqa
??????	Talilit	19.0	talilit
??? ????	Ben-M'sick	18.9	benmsick
???????	Tizoughrane	18.8	tizoughrane
?????	Ahfir	18.1	ahfir
????? ???????	Marrakech-Médina	18.1	marrakechmedina
?????? ???????	Asoukhour Assawda	18.0	asoukhourassawda
??? ??????	Bni Marghnine	17.9	bnimarghnine
???? ???????	Hay-Mohammadi	17.8	haymohammadi
????? ???????	Yacoub El Mansour	17.8	yacoubelmansour
???? ???????	Al Machouar-Stinia	17.6	elmachouarstinia
?????	Agdal	17.6	agdal
???????	Oualqadi	17.2	oualqadi
???????	Tarsouat	17.2	tarsouat
???? ????	Sidi Boaal	17.1	sidiboaal
??????	Touizgui	17.1	touizgui
??????	Amgala	17.0	amgala
???? ??????	Targua-Ntouchka	17.0	targuantouchka
???????	Tifariti	16.9	tifariti
??????	Al-Fida	16.8	elfida
?????	Tindine	16.8	tindine
????	Anfa	16.4	anfa
????? ????	Tnine Aday	16.3	tnineaday
???? ????	Sidi Mzal	16.3	sidimzal
??? ????	Ait Issafen	16.1	aitissafen
??? ??????	Ida-Ougnidif	16.0	idaougnidif
????– ??????	Méchouar-Kasba	16.0	mechouarkasba
????? ??????	Agdal Riyad	15.9	agdalriyad
??? ??? ????	Ait Abdallah	15.9	aitabdallah
??? ???????	Mers-Sultan	15.8	merssultan
????????	Toumliline	15.6	toumliline
???? ?????	Sidi Belyout	15.3	sidibelyout
????????	Maârif	15.3	maarif
???? ??????	Irigh N'tahala	15.3	irighntahala
???????	Tassrirt	15.3	tassrirt
???? ???? ??????	Sidi Ahmed Laaroussi	15.2	sidiahmedlaaroussi
???????	Souissi	15.0	souissi
???????	Dcheira	14.9	dcheira
????????	Touarga	14.9	touarga
?????? ???????	Tafraout El Mouloud	14.5	tafraoutelmouloud
?????	Aouguenz	14.4	aouguenz
???? ??????	Tizi Ntakoucht	14.1	tizintakoucht
???????	Chbika	13.7	chbika
????	Hassan	13.7	hassan
??????	Daoura	13.6	daoura
???? ????	Gueltat Zemmour	13.5	gueltatzemmour
?????	Tabia	13.4	tabia
??? ??????	Imi N'tayart	12.6	imintayart
?????	Tanalt	12.3	tanalt
?????	Aousserd	12.1	aousserd
????	Ammelne	11.4	ammelne
??????? ??????	Gleibat El Foula	5.9	gleibatelfoula
??????	Jraifia	4.0	jraifia
?????	Lamssid	2.6	lamssid
???????	El Argoub	2.0	elargoub
??? ??????	Bir Anzarane	0.7	biranzarane
??????	Imlili	0.2	imlili
?? ?????	Oum Dreyga	0.0	oumdreyga
???????	Aghouinite		aghouinite
?????	Mijik		mijik
????	Sebta		sebta
??????	Melilia		melilia
?????	Zoug		zoug
???????	Lagouira		lagouira
