commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aitaissiihahane							1.78	1.78	0.0	3.56	0.0					1.78	
aitalioulahcen	Ait Ali Ou Lahcen	28.5	12.9	0.375		0.5291	1.25	1.25	0.0	2.49	0.0	0.0090355764807081	0.0	2.49	0.0	1.25	5139.0
aitamira	Ait Amira	30.0	6.4	0.8992	1.0	0.6037	4.41	4.41	10.82	1.99	0.84	0.1995230146321343	0.84	1.99	10.82	4.41	113205.0
aitammar	Ait Ammar	25.5	20.0	0.672		0.5707	1.4	1.4	0.0	2.81	0.0	0.0059561476645167	0.0	2.81	0.0	1.4	3392.0
aitayach	Ait Ayach	28.4	12.9	0.7999		0.6571	1.18	1.18	0.0	2.2	0.4	0.0227722615205362	0.4	2.2	0.0	1.18	12932.0
aitbaha	Ait Baha	25.7	13.6	0.9516	1.0	0.6562	17.81	17.81	0.72	34.95	0.59	0.0105655960642537	0.59	34.95	0.72	17.81	6007.0
aitbazza	Ait Bazza	27.1	17.4	0.0884		0.2805	2.03	2.03	0.0	4.06	0.0	0.0042022657686321	0.0	4.06	0.0	2.03	2397.0
aitbelkacem	Ait Belkacem	25.8	17.5	0.6762		0.6215	1.58	1.58	0.0	3.15	0.0	0.0077223684280106	0.0	3.15	0.0	1.58	4394.0
aitbenyacoub	Ait Ben Yacoub	26.2	16.9	0.8084		0.5355	0.74	0.74	0.0	1.47	0.0	0.0065748537403514	0.0	1.47	0.0	0.74	3743.0
aitblal	Ait Blal	34.0	9.5	0.5425		0.3173	4.74	4.74	0.0	9.46	0.07	0.0135886186285172	0.07	9.46	0.0	4.74	7722.0
aitboubidmane	Ait Boubidmane	28.2	12.2	0.8289		0.6056	9.31	9.31	0.0	18.61	0.04	0.0401312855513623	0.04	18.61	0.0	9.31	22780.0
